1;No hace tareas asignadas en casa o en clase.;-1
10;Se retiró de la clase por acto de indisciplina.;-5
11;Se retiró de clase por enfermedad.;0
12;Se ausenta de clase sin permiso.;-2
13;No sigue orientaciones de sus educadores.;-2
14;No trae Agenda Escolar.;-2
15;No entrega notificación al Padre de Familia.;-2
16;No porta el Carnet Estudiantil.;-2
17;Fuera de su lugar en los cambios de clase.;-1
18;Se cambia de lugar sin permiso o autorización del docente guía;-1
19;Permanece en el aula en horario no permitido.;-1
2;Entregó tarea incompleta.;-1
20;No presenta el uniforme completo.;-3
21;Utiliza un corte de cabello inadecuado o tiene el cabello largo.;-3
22;Se presenta maquillada o con las uñas pintadas.;-3
23;No trae útiles de acuerdo al horario.;-2
24;Habla durante la formación y hace desorden en la fila.;-2
25;Come en clase o mastica chicle.;-2
26;No cuida su aseo ni presentación personal.;-2
27;Utiliza celular en clase, iglesia, formación y ambiente del Colegio durante la jornada.;-3
28;Indiferente a los valores (éticos, morales y espirituales.);-5
29;Indiferentes a las actividades del colegio (culturales, deportivas, religiosas);-5
3;Llega tarde al Colegio y a la formación.;-2
30;No es Proactivo.;-5
31;Agrede a su compañero(a) verbal y físicamente. (Informe preventivo);-10
32;Influye negativamente en sus compañeros.;-2
33;Copia durante los exámenes.;-5
34;Registra y/o altera el Diario Pedagógico.;-5
35;Daña el mobiliario y las instalaciones (informe preventivo);-10
36;Falta el respeto al Educador Salesiano.;-10
37;Cometió acto que atenta contra la moral (informe preventivo);-10
38;Colabora con el cuido y limpieza del aula;1     
39;Colabora con la directiva de grado;1     
4;Llega tarde a clase después del receso.;-2
40;Muestra interes por el aprendizaje en las diferentes disciplinas;1     
41;Mantiene una actitud positiva hacia la propuesta educatica del colegio;1     
42;Influye positivamente a sus compañeros;1     
43;Plantea sus inquietudes con franqueza, respeto y honestidad;1     
44;Trae su uniforme completo y cuida su presentacion personal;1     
45;Presenta sus utiles escolares en orden y aseo;1     
46;Trae sus materiales de acuerdo al horario establecido;1     
47;Cumple con sus tareas y deberes escolares;1     
48;Pone atencion y participa en clase;1
49;Mantiene una actitud de mejora y esfuerzoconstante de sus esfuerzos de aprendizaje;1
5;Muestra Indiferencia al aprendizaje de las distintas disciplinas.;-3
50;Es creativo, disponible y colaborador;1
51;Manifiesta compostura en los de formacion comunitaria;1
52;Muestra actitud positiva dentro del salon de clases;1
53;Busca soluciones y se muestra solidario a los problemas y necesidades de los demas;1
54;Ha mejorado su comportamiento y actitudes;1
55;Se identifica con los valores religiosos y vive;1
56;Participa con entusiasmo y alegria en las actividadesdel colegio;1
57;Ha respondido positivamente a las directrices y normas del colegio;1
58;Es un lider positivo;1
59;Es respetuoso ante sus compañeros y autoridades del colegio;1
6;No pone atención ni participa en clase.;-2
60;Vela por el cuido y mantenimiento de los bienes del colegio;1
61;Presenta Permiso de salida de Clase ;2
7;Bajo rendimiento académico.;-1
8;Ausente;-3
9;Ausencia Justificada.;3
